Algorithm,Number of Nodes,Avg Time (s),CI Lower Time (s),CI Upper Time (s),Avg Nodes Visited,CI Lower Nodes,CI Upper Nodes,Avg Edges Traversed,CI Lower Edges,CI Upper Edges,Avg Memory Usage (MB),CI Lower Memory (MB),CI Upper Memory (MB)
simplified_dijkstra,2,2.042510000137554e-05,1.0696274978272413e-05,7.063109987939244e-05,1.0,1.0,1.0,2.0,2.0,2.0,0.000707244873046875,0.00064849853515625,0.0007863998413085938
simplified_dijkstra,3,5.692919994544354e-05,4.190799988919025e-05,9.741249996295665e-05,4.0,4.0,4.0,12.0,12.0,12.0,0.0010498046875,0.00103759765625,0.0011322021484375
simplified_dijkstra,4,0.0001370709999719111,0.00011244047495893029,0.00018975189991579102,9.0,9.0,9.0,35.6,32.9,36.0,0.00121002197265625,0.00119781494140625,0.00122833251953125
simplified_dijkstra,5,0.00032574999995631514,0.00024595130008719934,0.0005377536497348956,16.0,16.0,16.0,80.0,80.0,80.0,0.001367950439453125,0.0013132095336914062,0.00140380859375
simplified_dijkstra,6,0.000497341599975698,0.0004286818500077061,0.000606808149882454,25.0,25.0,25.0,149.2,143.8,150.0,0.002158355712890625,0.0021209716796875,0.00217437744140625
simplified_dijkstra,7,0.0007677542999772413,0.0007492563998994228,0.0008267886499766065,36.0,36.0,36.0,252.0,252.0,252.0,0.002419281005859375,0.0023771286010742187,0.0024261474609375
brute_force,2,2.2437600000557724e-05,1.603932487341808e-05,3.689010021616923e-05,2.0,2.0,2.0,4.0,4.0,4.0,0.0007547378540039062,0.0006132125854492188,0.001114940643310547
brute_force,3,3.7316699945222354e-05,3.181989985705514e-05,5.177324975420561e-05,5.0,5.0,5.0,15.0,15.0,15.0,0.0008443832397460937,0.0008192062377929688,0.0010143280029296876
brute_force,4,0.00014622919984503825,8.357864990102826e-05,0.00035783132508413477,16.0,16.0,16.0,64.0,64.0,64.0,0.0015691757202148438,0.0014905929565429688,0.0020660400390625
brute_force,5,0.0004921624999951746,0.0003692043498290332,0.0009363776749864885,65.0,65.0,65.0,325.0,325.0,325.0,0.004939079284667969,0.004343986511230469,0.008955955505371095
brute_force,6,0.002706179200049519,0.0023620481752800516,0.003158167600190609,326.0,326.0,326.0,1956.0,1956.0,1956.0,0.041249656677246095,0.03966808319091797,0.051891708374023446
brute_force,7,0.016666287599991846,0.016306268675168666,0.018449247024750547,1957.0,1957.0,1957.0,13699.0,13699.0,13699.0,0.2878622055053711,0.27909374237060547,0.3470493316650391
log_brute_force,2,3.5783400062427975e-05,2.7535675121725946e-05,5.619375009473516e-05,2.0,2.0,2.0,4.0,4.0,4.0,0.0007513046264648437,0.0006437301635742188,0.0007925033569335938
log_brute_force,3,9.02248999409494e-05,7.568490005951389e-05,0.00013544054982048695,5.0,5.0,5.0,15.0,15.0,15.0,0.0009145736694335938,0.0009145736694335938,0.0009145736694335938
log_brute_force,4,0.0004762624999330001,0.00026789434999727744,0.00143523299974504,16.0,16.0,16.0,64.0,64.0,64.0,0.007784366607666016,0.0017004013061523438,0.04885113239288332
log_brute_force,5,0.0015517958999225812,0.0012807506750959873,0.001998742449825386,65.0,65.0,65.0,325.0,325.0,325.0,0.005675315856933594,0.005675315856933594,0.005675315856933594
log_brute_force,6,0.008237270900008298,0.0072019968750737465,0.009445126299942786,326.0,326.0,326.0,1956.0,1956.0,1956.0,0.041782188415527347,0.041754722595214844,0.041967582702636716
log_brute_force,7,0.047043400100074,0.04643255305023786,0.049230096875089654,1957.0,1957.0,1957.0,13699.0,13699.0,13699.0,0.28118038177490234,0.28118038177490234,0.28118038177490234
log_shifted_simplified_dijkstra,2,4.7708200099805254e-05,3.124062501456137e-05,9.842172506751014e-05,1.0,1.0,1.0,2.0,2.0,2.0,0.00088348388671875,0.00078582763671875,0.00090789794921875
log_shifted_simplified_dijkstra,3,0.00017120850002356748,0.0001379786502297975,0.00023674877505754923,4.0,4.0,4.0,12.0,12.0,12.0,0.001552581787109375,0.0015411376953125,0.00156402587890625
log_shifted_simplified_dijkstra,4,0.00046978319996924254,0.0003508798001007563,0.0007205512247196567,9.0,9.0,9.0,35.6,32.9,36.0,0.0017853736877441405,0.0017547607421875,0.001992011070251465
log_shifted_simplified_dijkstra,5,0.0009077915000489156,0.0007471767499964699,0.001176695424908303,16.0,16.0,16.0,80.0,80.0,80.0,0.00193023681640625,0.00193023681640625,0.00193023681640625
log_shifted_simplified_dijkstra,6,0.0015068834000430797,0.0012930262247095926,0.0018207801000357903,25.0,25.0,25.0,149.2,143.8,150.0,0.002757549285888672,0.00274658203125,0.002831578254699707
log_shifted_simplified_dijkstra,7,0.0021361541999340263,0.002119432550057354,0.0021737204248324813,36.0,36.0,36.0,252.0,252.0,252.0,0.00304412841796875,0.00304412841796875,0.00304412841796875
